mrcpspEO_4/j3010_10,mm,param,out;SOLVED;0,175;8,433;8,608;14668;58487
mrcpspEO_4/j3010_1,mm,param,out;SOLVED;0,106;3,686;3,792;10584;39334
mrcpspEO_4/j3010_2,mm,param,out;SOLVED;0,156;5,448;5,604;13538;53480
mrcpspEO_4/j3010_3,mm,param,out;SOLVED;0,098;3,648;3,746;9305;37524
mrcpspEO_4/j3010_4,mm,param,out;SOLVED;0,079;3,434;3,513;7723;27612
mrcpspEO_4/j3010_5,mm,param,out;SOLVED;0,184;8,819;9,003;13502;62429
mrcpspEO_4/j3010_6,mm,param,out;SOLVED;0,136;3,358;3,494;11227;41017
mrcpspEO_4/j3010_7,mm,param,out;SOLVED;0,098;3,26;3,358;9639;38854
mrcpspEO_4/j3010_8,mm,param,out;SOLVED;0,129;4,794;4,923;11479;44560
mrcpspEO_4/j3010_9,mm,param,out;SOLVED;0,113;4,621;4,734;10682;39935
mrcpspEO_4/j3011_10,mm,param,out;SOLVED;0,449;11,715;12,164;18425;77030
mrcpspEO_4/j3011_1,mm,param,out;SOLVED;0,097;3,207;3,304;10838;37285
mrcpspEO_4/j3011_2,mm,param,out;SOLVED;0,073;2,811;2,884;7790;28244
mrcpspEO_4/j3011_3,mm,param,out;SOLVED;0,087;3,349;3,436;9315;33812
mrcpspEO_4/j3011_4,mm,param,out;SOLVED;0,107;4,486;4,593;9038;35475
mrcpspEO_4/j3011_5,mm,param,out;SOLVED;0,075;2,975;3,050;7851;28281
mrcpspEO_4/j3011_6,mm,param,out;SOLVED;0,135;4,708;4,843;13411;47125
mrcpspEO_4/j3011_7,mm,param,out;SOLVED;0,205;6,458;6,663;16974;67487
mrcpspEO_4/j3011_8,mm,param,out;SOLVED;0,16;5,122;5,282;13878;56903
mrcpspEO_4/j3011_9,mm,param,out;SOLVED;0,166;5,125;5,291;14433;53514
mrcpspEO_4/j3012_10,mm,param,out;SOLVED;0,068;3,057;3,125;7349;25458
mrcpspEO_4/j3012_1,mm,param,out;SOLVED;0,096;4,099;4,195;8419;32826
mrcpspEO_4/j3012_2,mm,param,out;SOLVED;0,12;5,285;5,405;10157;40052
mrcpspEO_4/j3012_3,mm,param,out;SOLVED;0,077;3,33;3,407;8641;29677
mrcpspEO_4/j3012_4,mm,param,out;SOLVED;0,108;3,75;3,858;9818;36699
mrcpspEO_4/j3012_5,mm,param,out;SOLVED;0,128;3,553;3,681;11124;44126
mrcpspEO_4/j3012_6,mm,param,out;SOLVED;0,068;3,137;3,205;7294;23910
mrcpspEO_4/j3012_7,mm,param,out;SOLVED;0,175;7,383;7,558;14518;56053
mrcpspEO_4/j3012_8,mm,param,out;SOLVED;0,095;3,991;4,086;9579;34757
mrcpspEO_4/j3012_9,mm,param,out;SOLVED;0,184;5,679;5,863;14807;60605
mrcpspEO_4/j3013_10,mm,param,out;SOLVED;74,172;16,387;90,559;24942;139483
mrcpspEO_4/j3013_1,mm,param,out;SOLVED;0,533;15,446;15,979;23941;134974
mrcpspEO_4/j3013_2,mm,param,out;SOLVED;29,379;12,481;41,860;23685;131719
