mrcpspEO_6/j3010_10,mm,param,out;SOLVED;0,172;8,479;8,651;14668;58487
mrcpspEO_6/j3010_1,mm,param,out;SOLVED;0,104;3,335;3,439;10584;39334
mrcpspEO_6/j3010_2,mm,param,out;SOLVED;0,152;5,434;5,586;13538;53480
mrcpspEO_6/j3010_3,mm,param,out;SOLVED;0,108;3,651;3,759;9305;37524
mrcpspEO_6/j3010_4,mm,param,out;SOLVED;0,065;3,345;3,410;7723;27612
mrcpspEO_6/j3010_5,mm,param,out;SOLVED;0,185;8,833;9,018;13502;62429
mrcpspEO_6/j3010_6,mm,param,out;SOLVED;0,143;3,406;3,549;11227;41017
mrcpspEO_6/j3010_7,mm,param,out;SOLVED;0,109;3,205;3,314;9639;38854
mrcpspEO_6/j3010_8,mm,param,out;SOLVED;0,14;4,763;4,903;11479;44560
mrcpspEO_6/j3010_9,mm,param,out;SOLVED;0,109;4,578;4,687;10682;39935
mrcpspEO_6/j3011_10,mm,param,out;SOLVED;0,246;11,813;12,059;18425;77030
mrcpspEO_6/j3011_1,mm,param,out;SOLVED;0,102;3,214;3,316;10838;37285
mrcpspEO_6/j3011_2,mm,param,out;SOLVED;0,078;2,772;2,850;7790;28244
mrcpspEO_6/j3011_3,mm,param,out;SOLVED;0,09;3,286;3,376;9315;33812
mrcpspEO_6/j3011_4,mm,param,out;SOLVED;0,098;4,554;4,652;9038;35475
mrcpspEO_6/j3011_5,mm,param,out;SOLVED;0,073;3,003;3,076;7851;28281
mrcpspEO_6/j3011_6,mm,param,out;SOLVED;0,146;4,915;5,061;13411;47125
mrcpspEO_6/j3011_7,mm,param,out;SOLVED;0,2;6,48;6,68;16974;67487
mrcpspEO_6/j3011_8,mm,param,out;SOLVED;0,172;5,068;5,240;13878;56903
mrcpspEO_6/j3011_9,mm,param,out;SOLVED;0,163;4,834;4,997;14433;53514
mrcpspEO_6/j3012_10,mm,param,out;SOLVED;0,064;3,06;3,124;7349;25458
mrcpspEO_6/j3012_1,mm,param,out;SOLVED;0,096;4,532;4,628;8419;32826
mrcpspEO_6/j3012_2,mm,param,out;SOLVED;0,119;5,449;5,568;10157;40052
mrcpspEO_6/j3012_3,mm,param,out;SOLVED;0,083;3,392;3,475;8641;29677
mrcpspEO_6/j3012_4,mm,param,out;SOLVED;0,106;3,796;3,902;9818;36699
mrcpspEO_6/j3012_5,mm,param,out;SOLVED;0,126;3,706;3,832;11124;44126
mrcpspEO_6/j3012_6,mm,param,out;SOLVED;0,063;3,265;3,328;7294;23910
mrcpspEO_6/j3012_7,mm,param,out;SOLVED;0,183;7,207;7,390;14518;56053
mrcpspEO_6/j3012_8,mm,param,out;SOLVED;0,097;4,088;4,185;9579;34757
mrcpspEO_6/j3012_9,mm,param,out;SOLVED;0,175;5,679;5,854;14807;60605
mrcpspEO_6/j3013_10,mm,param,out;SOLVED;73,059;16,89;89,949;24942;139483
mrcpspEO_6/j3013_1,mm,param,out;SOLVED;0,474;15,466;15,940;23941;134974
mrcpspEO_6/j3013_2,mm,param,out;SOLVED;29,824;12,157;41,981;23685;131719
mrcpspEO_6/j3013_3,mm,param,out;SOLVED;54,902;12,509;67,411;23836;132487
mrcpspEO_6/j3013_4,mm,param,out;SOLVED;32,494;14,794;47,288;22010;127018
mrcpspEO_6/j3013_5,mm,param,out;SOLVED;14,328;7,365;21,693;18907;105641
mrcpspEO_6/j3013_6,mm,param,out;SOLVED;1,635;15,705;17,340;24183;141991
mrcpspEO_6/j3013_7,mm,param,out;SOLVED;6,515;11,559;18,074;21625;122901
mrcpspEO_6/j3013_8,mm,param,out;SOLVED;0,366;3,72;4,086;13245;66545
mrcpspEO_6/j3013_9,mm,param,out;SOLVED;13,347;9,516;22,863;21095;113070
