instance,model,SRTimeOut,SRTime,solverMemOut,solverTimeOut,solverTime,solverNodeOut,nNodes,sat,cmd,bound,snsTimeLimit
inst-216-1-1049288500,model,0,5.517,0,0,17.6293,0,-1,yes,../wrapper.py 216 1 1049288500 bacp -n_courses 99 -n_periods 22 -load_per_period_lb 9 -load_per_period_ub 26 -courses_per_period_lb 4 -courses_per_period_ub 8 -course_load_min 3 -course_load_max 9 -probability_of_edge 0.023,NA,NA
inst-216-1-714733111,model,0,5.897,0,0,208.876,0,-1,yes,../wrapper.py 216 1 714733111 bacp -n_courses 99 -n_periods 22 -load_per_period_lb 9 -load_per_period_ub 26 -courses_per_period_lb 4 -courses_per_period_ub 8 -course_load_min 3 -course_load_max 9 -probability_of_edge 0.023,NA,NA
inst-283-1-1912012543,model,0,9.061,0,0,5.74177,0,-1,yes,../wrapper.py 283 1 1912012543 bacp -n_courses 87 -n_periods 29 -load_per_period_lb 5 -load_per_period_ub 35 -courses_per_period_lb 3 -courses_per_period_ub 9 -course_load_min 2 -course_load_max 5 -probability_of_edge 0.074,NA,NA
inst-306-1-1037025002,model,0,63.154,0,0,5.41111,0,-1,yes,../wrapper.py 306 1 1037025002 bacp -n_courses 173 -n_periods 28 -load_per_period_lb 4 -load_per_period_ub 49 -courses_per_period_lb 5 -courses_per_period_ub 10 -course_load_min 2 -course_load_max 3 -probability_of_edge 0.0221,NA,NA
inst-323-1-1288466479,model,0,194.339,0,0,7.53331,0,-1,yes,../wrapper.py 323 1 1288466479 bacp -n_courses 126 -n_periods 28 -load_per_period_lb 2 -load_per_period_ub 33 -courses_per_period_lb 4 -courses_per_period_ub 6 -course_load_min 3 -course_load_max 7 -probability_of_edge 0.1885,NA,NA
inst-349-1-1049288500,model,0,33.131,0,0,5.35166,0,-1,yes,../wrapper.py 349 1 1049288500 bacp -n_courses 82 -n_periods 27 -load_per_period_lb 5 -load_per_period_ub 46 -courses_per_period_lb 3 -courses_per_period_ub 10 -course_load_min 2 -course_load_max 8 -probability_of_edge 0.3351,NA,NA
inst-369-1-1037025002,model,0,105.125,0,0,141.665,0,-1,yes,../wrapper.py 369 1 1037025002 bacp -n_courses 130 -n_periods 28 -load_per_period_lb 1 -load_per_period_ub 26 -courses_per_period_lb 3 -courses_per_period_ub 5 -course_load_min 3 -course_load_max 9 -probability_of_edge 0.1258,NA,NA
inst-375-1-1049288500,model,0,117.685,0,0,5.01803,0,-1,yes,../wrapper.py 375 1 1049288500 bacp -n_courses 171 -n_periods 23 -load_per_period_lb 1 -load_per_period_ub 43 -courses_per_period_lb 5 -courses_per_period_ub 10 -course_load_min 3 -course_load_max 6 -probability_of_edge 0.0458,NA,NA
inst-389-1-1963741053,model,0,85.586,0,0,5.79574,0,-1,yes,../wrapper.py 389 1 1963741053 bacp -n_courses 178 -n_periods 19 -load_per_period_lb 2 -load_per_period_ub 41 -courses_per_period_lb 5 -courses_per_period_ub 10 -course_load_min 2 -course_load_max 5 -probability_of_edge 0.031,NA,NA
inst-460-1-1912012543,model,0,30.935,0,0,5.4266,0,-1,yes,../wrapper.py 460 1 1912012543 bacp -n_courses 81 -n_periods 27 -load_per_period_lb 5 -load_per_period_ub 43 -courses_per_period_lb 3 -courses_per_period_ub 8 -course_load_min 2 -course_load_max 7 -probability_of_edge 0.2548,NA,NA
inst-482-1-1912012543,model,0,143.157,0,0,9.30632,0,-1,yes,../wrapper.py 482 1 1912012543 bacp -n_courses 128 -n_periods 20 -load_per_period_lb 5 -load_per_period_ub 41 -courses_per_period_lb 4 -courses_per_period_ub 10 -course_load_min 3 -course_load_max 4 -probability_of_edge 0.149,NA,NA
inst-633-1-1963741053,model,0,113.12,0,0,5.33288,0,-1,yes,../wrapper.py 633 1 1963741053 bacp -n_courses 143 -n_periods 28 -load_per_period_lb 3 -load_per_period_ub 40 -courses_per_period_lb 5 -courses_per_period_ub 9 -course_load_min 2 -course_load_max 3 -probability_of_edge 0.0938,NA,NA
inst-633-1-2049716937,model,0,141.986,0,0,8.49696,0,-1,yes,../wrapper.py 633 1 2049716937 bacp -n_courses 143 -n_periods 28 -load_per_period_lb 3 -load_per_period_ub 40 -courses_per_period_lb 5 -courses_per_period_ub 9 -course_load_min 2 -course_load_max 3 -probability_of_edge 0.0938,NA,NA
