EXPERIMENT;25%;MEDIAN;75%;MAX;MEAN;MEAN WITHOUT T.O.;UNSOLVED
auction/auctionAMO_1;0,986946;1,402998;3,3187;446,350;13,053;13,053;       0
auction/auction_1;1,116997;3,7136;600;600;179,431;35,9039;      43
