mrcpspEO_7/j3010_10,mm,param,out;SOLVED;0,184;8,568;8,752;14668;58487
mrcpspEO_7/j3010_1,mm,param,out;SOLVED;0,109;3,307;3,416;10584;39334
mrcpspEO_7/j3010_2,mm,param,out;SOLVED;0,15;5,286;5,436;13538;53480
mrcpspEO_7/j3010_3,mm,param,out;SOLVED;0,104;3,65;3,754;9305;37524
mrcpspEO_7/j3010_4,mm,param,out;SOLVED;0,073;3,322;3,395;7723;27612
mrcpspEO_7/j3010_5,mm,param,out;SOLVED;0,195;8,763;8,958;13502;62429
mrcpspEO_7/j3010_6,mm,param,out;SOLVED;0,135;3,513;3,648;11227;41017
mrcpspEO_7/j3010_7,mm,param,out;SOLVED;0,113;3,406;3,519;9639;38854
mrcpspEO_7/j3010_8,mm,param,out;SOLVED;0,118;4,596;4,714;11479;44560
mrcpspEO_7/j3010_9,mm,param,out;SOLVED;0,104;4,731;4,835;10682;39935
mrcpspEO_7/j3011_10,mm,param,out;SOLVED;0,461;12,12;12,581;18425;77030
mrcpspEO_7/j3011_1,mm,param,out;SOLVED;0,1;3,218;3,318;10838;37285
mrcpspEO_7/j3011_2,mm,param,out;SOLVED;0,073;2,774;2,847;7790;28244
mrcpspEO_7/j3011_3,mm,param,out;SOLVED;0,095;3,169;3,264;9315;33812
mrcpspEO_7/j3011_4,mm,param,out;SOLVED;0,094;4,443;4,537;9038;35475
mrcpspEO_7/j3011_5,mm,param,out;SOLVED;0,075;2,979;3,054;7851;28281
mrcpspEO_7/j3011_6,mm,param,out;SOLVED;0,145;4,833;4,978;13411;47125
mrcpspEO_7/j3011_7,mm,param,out;SOLVED;0,209;6,804;7,013;16974;67487
mrcpspEO_7/j3011_8,mm,param,out;SOLVED;0,177;5,107;5,284;13878;56903
mrcpspEO_7/j3011_9,mm,param,out;SOLVED;0,162;4,861;5,023;14433;53514
mrcpspEO_7/j3012_10,mm,param,out;SOLVED;0,063;3,029;3,092;7349;25458
mrcpspEO_7/j3012_1,mm,param,out;SOLVED;0,098;4,257;4,355;8419;32826
mrcpspEO_7/j3012_2,mm,param,out;SOLVED;0,125;5,479;5,604;10157;40052
