EXPERIMENT;25%;MEDIAN;75%;MAX;MEAN;MEAN WITHOUT T.O.;UNSOLVED
nsp/nspAMO_1;1,324934;1,85737;6,78111;600;28,1812;16,5114;4
nsp/nspEO_1;0,752997;0,82499;1,260926;600;18,3257;9,46768;3
nsp/nsp_1;600;600;600;600;597,006;1,27693;199
