mrcpspEO_9/j3010_10,mm,param,out;SOLVED;0,165;8,853;9,018;14668;58487
mrcpspEO_9/j3010_1,mm,param,out;SOLVED;0,112;3,372;3,484;10584;39334
mrcpspEO_9/j3010_2,mm,param,out;SOLVED;0,155;5,178;5,333;13538;53480
mrcpspEO_9/j3010_3,mm,param,out;SOLVED;0,108;3,825;3,933;9305;37524
mrcpspEO_9/j3010_4,mm,param,out;SOLVED;0,071;3,251;3,322;7723;27612
mrcpspEO_9/j3010_5,mm,param,out;SOLVED;0,184;8,685;8,869;13502;62429
mrcpspEO_9/j3010_6,mm,param,out;SOLVED;0,139;3,47;3,609;11227;41017
mrcpspEO_9/j3010_7,mm,param,out;SOLVED;0,107;3,153;3,260;9639;38854
mrcpspEO_9/j3010_8,mm,param,out;SOLVED;0,169;4,685;4,854;11479;44560
mrcpspEO_9/j3010_9,mm,param,out;SOLVED;0,107;4,796;4,903;10682;39935
mrcpspEO_9/j3011_10,mm,param,out;SOLVED;0,45;11,675;12,125;18425;77030
mrcpspEO_9/j3011_1,mm,param,out;SOLVED;0,092;3,232;3,324;10838;37285
mrcpspEO_9/j3011_2,mm,param,out;SOLVED;0,074;2,813;2,887;7790;28244
mrcpspEO_9/j3011_3,mm,param,out;SOLVED;0,091;3,36;3,451;9315;33812
mrcpspEO_9/j3011_4,mm,param,out;SOLVED;0,102;4,355;4,457;9038;35475
mrcpspEO_9/j3011_5,mm,param,out;SOLVED;0,075;3,079;3,154;7851;28281
mrcpspEO_9/j3011_6,mm,param,out;SOLVED;0,14;4,753;4,893;13411;47125
mrcpspEO_9/j3011_7,mm,param,out;SOLVED;0,212;6,58;6,792;16974;67487
mrcpspEO_9/j3011_8,mm,param,out;SOLVED;0,162;5,139;5,301;13878;56903
mrcpspEO_9/j3011_9,mm,param,out;SOLVED;0,163;4,964;5,127;14433;53514
mrcpspEO_9/j3012_10,mm,param,out;SOLVED;0,066;3,001;3,067;7349;25458
mrcpspEO_9/j3012_1,mm,param,out;SOLVED;0,096;4,229;4,325;8419;32826
mrcpspEO_9/j3012_2,mm,param,out;SOLVED;0,112;5,06;5,172;10157;40052
mrcpspEO_9/j3012_3,mm,param,out;SOLVED;0,082;3,383;3,465;8641;29677
mrcpspEO_9/j3012_4,mm,param,out;SOLVED;0,095;4,177;4,272;9818;36699
mrcpspEO_9/j3012_5,mm,param,out;SOLVED;0,129;3,966;4,095;11124;44126
mrcpspEO_9/j3012_6,mm,param,out;SOLVED;0,057;3,115;3,172;7294;23910
mrcpspEO_9/j3012_7,mm,param,out;SOLVED;0,175;7,131;7,306;14518;56053
mrcpspEO_9/j3012_8,mm,param,out;SOLVED;0,099;3,989;4,088;9579;34757
mrcpspEO_9/j3012_9,mm,param,out;SOLVED;0,194;5,612;5,806;14807;60605
mrcpspEO_9/j3013_10,mm,param,out;SOLVED;72,958;16,445;89,403;24942;139483
mrcpspEO_9/j3013_1,mm,param,out;SOLVED;0,536;15,756;16,292;23941;134974
mrcpspEO_9/j3013_2,mm,param,out;SOLVED;29,948;12,655;42,603;23685;131719
mrcpspEO_9/j3013_3,mm,param,out;SOLVED;54,701;12,394;67,095;23836;132487
mrcpspEO_9/j3013_4,mm,param,out;SOLVED;31,595;14,245;45,840;22010;127018
mrcpspEO_9/j3013_5,mm,param,out;SOLVED;14,27;6,784;21,054;18907;105641
mrcpspEO_9/j3013_6,mm,param,out;SOLVED;1,608;16,018;17,626;24183;141991
mrcpspEO_9/j3013_7,mm,param,out;SOLVED;6,799;12,12;18,919;21625;122901
mrcpspEO_9/j3013_8,mm,param,out;SOLVED;0,357;3,894;4,251;13245;66545
mrcpspEO_9/j3013_9,mm,param,out;SOLVED;13,086;9,812;22,898;21095;113070
mrcpspEO_9/j3014_10,mm,param,out;SOLVED;0,22;3,662;3,882;14057;71076
mrcpspEO_9/j3014_1,mm,param,out;SOLVED;0,342;8,194;8,536;18330;102597
mrcpspEO_9/j3014_2,mm,param,out;SOLVED;0,29;3,082;3,372;11531;57495
mrcpspEO_9/j3014_3,mm,param,out;SOLVED;0,578;6,78;7,358;18461;111064
mrcpspEO_9/j3014_4,mm,param,out;SOLVED;0,656;7,825;8,481;16074;92275
mrcpspEO_9/j3014_5,mm,param,out;SOLVED;0,439;3,456;3,895;11126;60982
mrcpspEO_9/j3014_6,mm,param,out;SOLVED;0,155;3,105;3,260;11060;52300
mrcpspEO_9/j3014_7,mm,param,out;SOLVED;0,323;5,891;6,214;17323;92153
mrcpspEO_9/j3014_8,mm,param,out;SOLVED;0,429;8,067;8,496;22198;123517
mrcpspEO_9/j3014_9,mm,param,out;SOLVED;0,247;4,813;5,060;14423;76375
mrcpspEO_9/j3015_10,mm,param,out;SOLVED;0,34;5,287;5,627;17877;99076
mrcpspEO_9/j3015_1,mm,param,out;SOLVED;0,182;3,819;4,001;12843;58439
mrcpspEO_9/j3015_2,mm,param,out;SOLVED;0,504;8,324;8,828;23449;137164
mrcpspEO_9/j3015_3,mm,param,out;SOLVED;0,349;5,105;5,454;18826;102463
mrcpspEO_9/j3015_4,mm,param,out;SOLVED;0,342;6,371;6,713;17002;96707
mrcpspEO_9/j3015_5,mm,param,out;SOLVED;0,723;5,172;5,895;15693;89479
mrcpspEO_9/j3015_6,mm,param,out;SOLVED;0,169;3,414;3,583;10510;56128
mrcpspEO_9/j3015_7,mm,param,out;SOLVED;0,318;5,326;5,644;17139;94699
mrcpspEO_9/j3015_8,mm,param,out;SOLVED;0,245;3,469;3,714;13097;71775
mrcpspEO_9/j3015_9,mm,param,out;SOLVED;0,468;6,871;7,339;20958;131025
mrcpspEO_9/j3016_10,mm,param,out;SOLVED;0,325;5,548;5,873;17321;95782
mrcpspEO_9/j3016_1,mm,param,out;SOLVED;0,321;5,759;6,080;17018;93814
mrcpspEO_9/j3016_2,mm,param,out;SOLVED;0,202;4,063;4,265;13231;62868
mrcpspEO_9/j3016_3,mm,param,out;SOLVED;0,333;5,116;5,449;17947;96978
mrcpspEO_9/j3016_4,mm,param,out;SOLVED;0,134;3,064;3,198;9320;44900
mrcpspEO_9/j3016_5,mm,param,out;SOLVED;0,3;6,106;6,406;15743;86668
mrcpspEO_9/j3016_6,mm,param,out;SOLVED;0,238;4,455;4,693;15351;74647
mrcpspEO_9/j3016_7,mm,param,out;SOLVED;0,185;5,088;5,273;11055;56719
mrcpspEO_9/j3016_8,mm,param,out;SOLVED;0,312;5,6;5,912;15707;90311
mrcpspEO_9/j3016_9,mm,param,out;SOLVED;0,205;3,409;3,614;11473;61277
mrcpspEO_9/j3017_10,mm,param,out;SOLVED;0,073;3,326;3,399;8061;29008
mrcpspEO_9/j3017_1,mm,param,out;SOLVED;0,13;6,323;6,453;11032;40957
mrcpspEO_9/j3017_2,mm,param,out;SOLVED;0,08;4,549;4,629;7163;26875
mrcpspEO_9/j3017_3,mm,param,out;SOLVED;0,148;6,195;6,343;13269;49263
mrcpspEO_9/j3017_4,mm,param,out;SOLVED;0,123;6,598;6,721;11142;43578
mrcpspEO_9/j3017_5,mm,param,out;SOLVED;0,06;2,952;3,012;6646;23131
mrcpspEO_9/j3017_6,mm,param,out;SOLVED;0,064;3,442;3,506;7039;24294
mrcpspEO_9/j3017_7,mm,param,out;SOLVED;0,12;6,16;6,28;10738;40238
mrcpspEO_9/j3017_8,mm,param,out;SOLVED;0,096;4,942;5,038;9348;34730
mrcpspEO_9/j3017_9,mm,param,out;SOLVED;0,099;5,387;5,486;9754;35503
mrcpspEO_9/j3018_10,mm,param,out;SOLVED;0,048;2,734;2,782;5824;19888
mrcpspEO_9/j3018_1,mm,param,out;SOLVED;0,043;2,174;2,217;4957;16901
mrcpspEO_9/j3018_2,mm,param,out;SOLVED;0,072;2,919;2,991;7514;26813
mrcpspEO_9/j3018_3,mm,param,out;SOLVED;0,114;4,474;4,588;10315;39041
mrcpspEO_9/j3018_4,mm,param,out;SOLVED;0,043;2,295;2,338;5562;17684
mrcpspEO_9/j3018_5,mm,param,out;SOLVED;0,082;3,169;3,251;7563;30557
mrcpspEO_9/j3018_6,mm,param,out;SOLVED;0,056;2,255;2,311;6428;22036
mrcpspEO_9/j3018_7,mm,param,out;SOLVED;0,058;2,787;2,845;7056;22957
mrcpspEO_9/j3018_8,mm,param,out;SOLVED;0,124;4,257;4,381;10132;42145
mrcpspEO_9/j3018_9,mm,param,out;SOLVED;0,085;3,3;3,385;8085;31355
mrcpspEO_9/j3019_10,mm,param,out;SOLVED;0,074;3,268;3,342;7958;28140
mrcpspEO_9/j3019_1,mm,param,out;SOLVED;0,006;2,031;2,037;1998;6013
mrcpspEO_9/j3019_2,mm,param,out;SOLVED;0,047;2,293;2,340;5385;18452
mrcpspEO_9/j3019_3,mm,param,out;SOLVED;0,008;1,929;1,937;3802;11929
mrcpspEO_9/j3019_4,mm,param,out;SOLVED;0,075;2,939;3,014;8033;28143
