mrcpspEO_3/j3010_10,mm,param,out;SOLVED;0,161;8,531;8,692;14668;58487
mrcpspEO_3/j3010_1,mm,param,out;SOLVED;0,108;3,359;3,467;10584;39334
mrcpspEO_3/j3010_2,mm,param,out;SOLVED;0,152;5,169;5,321;13538;53480
mrcpspEO_3/j3010_3,mm,param,out;SOLVED;0,106;3,714;3,820;9305;37524
mrcpspEO_3/j3010_4,mm,param,out;SOLVED;0,074;3,27;3,344;7723;27612
mrcpspEO_3/j3010_5,mm,param,out;SOLVED;0,188;8,603;8,791;13502;62429
mrcpspEO_3/j3010_6,mm,param,out;SOLVED;0,132;3,438;3,570;11227;41017
mrcpspEO_3/j3010_7,mm,param,out;SOLVED;0,111;3,234;3,345;9639;38854
mrcpspEO_3/j3010_8,mm,param,out;SOLVED;0,174;4,698;4,872;11479;44560
mrcpspEO_3/j3010_9,mm,param,out;SOLVED;0,108;4,812;4,920;10682;39935
mrcpspEO_3/j3011_10,mm,param,out;SOLVED;0,246;11,915;12,161;18425;77030
mrcpspEO_3/j3011_1,mm,param,out;SOLVED;0,102;3,327;3,429;10838;37285
mrcpspEO_3/j3011_2,mm,param,out;SOLVED;0,074;2,88;2,954;7790;28244
mrcpspEO_3/j3011_3,mm,param,out;SOLVED;0,087;3,217;3,304;9315;33812
mrcpspEO_3/j3011_4,mm,param,out;SOLVED;0,102;4,34;4,442;9038;35475
mrcpspEO_3/j3011_5,mm,param,out;SOLVED;0,071;2,95;3,021;7851;28281
mrcpspEO_3/j3011_6,mm,param,out;SOLVED;0,136;4,738;4,874;13411;47125
mrcpspEO_3/j3011_7,mm,param,out;SOLVED;0,214;6,715;6,929;16974;67487
mrcpspEO_3/j3011_8,mm,param,out;SOLVED;0,156;5,048;5,204;13878;56903
mrcpspEO_3/j3011_9,mm,param,out;SOLVED;0,158;4,926;5,084;14433;53514
mrcpspEO_3/j3012_10,mm,param,out;SOLVED;0,064;3,025;3,089;7349;25458
mrcpspEO_3/j3012_1,mm,param,out;SOLVED;0,096;4,081;4,177;8419;32826
mrcpspEO_3/j3012_2,mm,param,out;SOLVED;0,122;5,295;5,417;10157;40052
mrcpspEO_3/j3012_3,mm,param,out;SOLVED;0,073;3,551;3,624;8641;29677
mrcpspEO_3/j3012_4,mm,param,out;SOLVED;0,108;3,732;3,840;9818;36699
mrcpspEO_3/j3012_5,mm,param,out;SOLVED;0,121;3,582;3,703;11124;44126
mrcpspEO_3/j3012_6,mm,param,out;SOLVED;0,061;3,295;3,356;7294;23910
mrcpspEO_3/j3012_7,mm,param,out;SOLVED;0,175;7,139;7,314;14518;56053
mrcpspEO_3/j3012_8,mm,param,out;SOLVED;0,097;3,902;3,999;9579;34757
mrcpspEO_3/j3012_9,mm,param,out;SOLVED;0,2;5,657;5,857;14807;60605
mrcpspEO_3/j3013_10,mm,param,out;SOLVED;74,608;16,372;90,980;24942;139483
mrcpspEO_3/j3013_1,mm,param,out;SOLVED;0,504;15,868;16,372;23941;134974
mrcpspEO_3/j3013_2,mm,param,out;SOLVED;29,085;12,953;42,038;23685;131719
mrcpspEO_3/j3013_3,mm,param,out;SOLVED;53,18;12,122;65,302;23836;132487
mrcpspEO_3/j3013_4,mm,param,out;SOLVED;32,229;14,891;47,120;22010;127018
